id,defects
101763,0.24761136
101764,0.2099669
101765,0.680517
101766,0.46566972
101767,0.13868542
101768,0.4943109
101769,0.12862805
101770,0.6990693
101771,0.40102363
101772,0.07316109
101773,0.5747799
101774,0.72861606
101775,0.20618594
101776,0.57439387
101777,0.2132271
101778,0.36557388
101779,0.7272737
101780,0.2088099
101781,0.5443545
101782,0.12122528
101783,0.06534337
101784,0.06534337
101785,0.07205703
101786,0.2885598
101787,0.06665912
101788,0.45546648
101789,0.107259005
101790,0.1406104
101791,0.06534337
101792,0.09957098
101793,0.16292858
101794,0.21610567
101795,0.072140284
101796,0.08959605
101797,0.06534337
101798,0.26565763
101799,0.59365135
101800,0.14571743
101801,0.12157679
101802,0.10857655
101803,0.5187909
101804,0.100728445
101805,0.07205703
101806,0.31448635
101807,0.5823422
101808,0.10508467
101809,0.06534337
101810,0.13265456
101811,0.0704524
101812,0.10174925
101813,0.14793098
101814,0.07205703
101815,0.30277315
101816,0.06534337
101817,0.26529798
101818,0.10895292
101819,0.2255134
101820,0.1563323
101821,0.06636418
101822,0.35491315
101823,0.14168696
101824,0.26320022
101825,0.09957098
101826,0.14980571
101827,0.06534337
101828,0.07205703
101829,0.116944805
101830,0.06534337
101831,0.20712878
101832,0.39721453
101833,0.6436787
101834,0.10508467
101835,0.1621334
101836,0.38763785
101837,0.13271476
101838,0.3676899
101839,0.5874799
101840,0.07542408
101841,0.75474244
101842,0.13536927
101843,0.11409024
101844,0.06752164
101845,0.6199787
101846,0.1062382
101847,0.12122528
101848,0.18896893
101849,0.16351154
101850,0.120935306
101851,0.06534337
101852,0.10779939
101853,0.6845615
101854,0.53781617
101855,0.21411353
101856,0.6827321
101857,0.09739133
101858,0.069499664
101859,0.066393204
101860,0.5839194
101861,0.58061135
101862,0.13552074
101863,0.23158175
101864,0.14946765
101865,0.06534337
101866,0.066393204
101867,0.47174907
101868,0.06534337
101869,0.1617588
101870,0.09957098
101871,0.58851385
101872,0.10834003
101873,0.072140284
101874,0.19938987
101875,0.300697
101876,0.5801549
101877,0.066393204
101878,0.06534337
101879,0.06534337
101880,0.09957098
101881,0.1853656
101882,0.1469323
101883,0.6994153
101884,0.27453688
101885,0.075952396
101886,0.18231107
101887,0.09957098
101888,0.11138655
101889,0.3519712
101890,0.066393204
101891,0.408415
101892,0.1706487
101893,0.100728445
101894,0.09073928
101895,0.066393204
101896,0.13265456
101897,0.6372625
101898,0.56906265
101899,0.590393
101900,0.09957098
101901,0.13377865
101902,0.074855
101903,0.11226909
101904,0.1707432
101905,0.64683425
101906,0.06534337
101907,0.072140284
101908,0.06534337
101909,0.13307625
101910,0.20659962
101911,0.1764475
101912,0.06534337
101913,0.066393204
101914,0.09957098
101915,0.06534337
101916,0.7125542
101917,0.072140284
101918,0.14072265
101919,0.09957098
101920,0.06752164
101921,0.06534337
101922,0.20573871
101923,0.18515773
101924,0.22812867
101925,0.109597355
101926,0.5557453
