id,defects
101763,0.24439088
101764,0.18359992
101765,0.6331997
101766,0.484274
101767,0.14111702
101768,0.45167637
101769,0.13477996
101770,0.49745736
101771,0.4415995
101772,0.06768
101773,0.53594625
101774,0.73117036
101775,0.16424488
101776,0.60034084
101777,0.23787612
101778,0.31833714
101779,0.7681988
101780,0.21421263
101781,0.697615
101782,0.12422624
101783,0.058377385
101784,0.06646934
101785,0.059357345
101786,0.26161483
101787,0.06654401
101788,0.43928346
101789,0.10676917
101790,0.12336311
101791,0.05511665
101792,0.1094653
101793,0.17883238
101794,0.22552659
101795,0.06690162
101796,0.08740942
101797,0.058978718
101798,0.27611157
101799,0.62786734
101800,0.14438643
101801,0.12572913
101802,0.116788596
101803,0.45783332
101804,0.0992642
101805,0.06388915
101806,0.29817772
101807,0.62535685
101808,0.107558265
101809,0.05679947
101810,0.13559096
101811,0.07011167
101812,0.108933546
101813,0.15396237
101814,0.07605504
101815,0.29279342
101816,0.06488633
101817,0.28334394
101818,0.10793719
101819,0.26337108
101820,0.15371521
101821,0.057227142
101822,0.36004466
101823,0.14084229
101824,0.25212494
101825,0.09960965
101826,0.13736784
101827,0.057641163
101828,0.09055033
101829,0.11325958
101830,0.07045115
101831,0.20310202
101832,0.4772341
101833,0.63379943
101834,0.10958342
101835,0.16670978
101836,0.4335723
101837,0.11680959
101838,0.2964688
101839,0.63924503
101840,0.072462566
101841,0.80982304
101842,0.1501463
101843,0.12615627
101844,0.07042724
101845,0.6151684
101846,0.10376451
101847,0.122979455
101848,0.21991278
101849,0.16870396
101850,0.12547399
101851,0.05429514
101852,0.10750089
101853,0.6725126
101854,0.5978727
101855,0.18715815
101856,0.7145297
101857,0.09567876
101858,0.05928317
101859,0.063757434
101860,0.6015657
101861,0.592087
101862,0.21317726
101863,0.2707382
101864,0.14875941
101865,0.060413647
101866,0.071562454
101867,0.423661
101868,0.062545255
101869,0.17009632
101870,0.09819688
101871,0.5637878
101872,0.12253399
101873,0.062358167
101874,0.20272334
101875,0.32782918
101876,0.60264534
101877,0.064006716
101878,0.059796866
101879,0.059161533
101880,0.08858738
